f,m,n,declension
pervagāta,pervagātus,pervagātum,I_II
pervaga,pervagus,pervagum,I_II
perversa,perversus,perversum,I_II
pervetus,pervetus,pervetus,III
pervetusta,pervetustus,pervetustum,I_II
pervicāx,pervicāx,pervicāx,III
pervigil,pervigil,pervigil,III
pervīlis,pervīlis,pervīle,III
pervia,pervius,pervium,I_II
pervolgāta,pervolgātus,pervolgātum,I_II
pestifera,pestifer,pestiferum,I_II
pestilēns,pestilēns,pestilēns,III
petasāta,petasātus,petasātum,I_II
petenda,petendus,petendum,I_II
petīta,petītus,petītum,I_II
petulāns,petulāns,petulāns,III
petulca,petulcus,petulcum,I_II
pexa,pexus,pexum,I_II
phalerāta,phalerātus,phalerātum,I_II
Phanāea,Phanāeus,Phanāeum,I_II
pharetrāta,pharetrātus,pharetrātum,I_II
Pharsālica,Pharsālicus,Pharsālicum,I_II
Philippica,Philippicus,Philippicum,I_II
philologa,philologus,philologum,I_II
philosopha,philosophus,philosophum,I_II
Phoebēia,Phoebēius,Phoebēium,I_II
phoenīcea,phoenīceus,phoenīceum,I_II
Phoenīssaa,Phoenīssa,Phoenīssaum,I_II
Phrygia,Phrygius,Phrygium,I_II
Phryx,Phryx,Phryx,III
physica,physicus,physicum,I_II
piābilis,piābilis,piābile,III
piāculāris,piāculāris,piāculāre,III
Picēns,Picēns,Picēns,III
picea,piceus,piceum,I_II
pictūrāta,pictūrātus,pictūrātum,I_II
picta,pictus,pictum,I_II
Pīeria,Pīerius,Pīerium,I_II
pigera,piger,pigerum,I_II
pīlāta,pīlātus,pīlātum,I_II
pilleāta,pilleātus,pilleātum,I_II
pilōsa,pilōsus,pilōsum,I_II
Pimplēa,Pimplēus,Pimplēum,I_II
pīnea,pīneus,pīneum,I_II
pinguis,pinguis,pingue,III
pīnifera,pīnifer,pīniferum,I_II
pīnigera,pīniger,pīnigerum,I_II
pinnāta,pinnātus,pinnātum,I_II
pinnigera,pinniger,pinnigerum,I_II
Pīraea,Pīraeus,Pīraeum,I_II
pīrātica,pīrāticus,pīrāticum,I_II
Pīsaea,Pīsaeus,Pīsaeum,I_II
piscātōria,piscātōrius,piscātōrium,I_II
piscōsa,piscōsus,piscōsum,I_II
pītuītōsa,pītuītōsus,pītuītōsum,I_II
pia,pius,pium,I_II
plācābilis,plācābilis,plācābile,III
plācāta,plācātus,plācātum,I_II
plācēns,plācēns,plācēns,III
placida,placidus,placidum,I_II
placita,placitus,placitum,I_II
plāgōsa,plāgōsus,plāgōsum,I_II
plāna,plānus,plānum,I_II
plausibilis,plausibilis,plausibile,III
plēbēia,plēbēius,plēbēium,I_II
plēna,plēnus,plēnum,I_II
plērusquea,plērusque,plērusqueum,I_II
plūmāta,plūmātus,plūmātum,I_II
plumbea,plumbeus,plumbeum,I_II
plūmea,plūmeus,plūmeum,I_II
plūmipēs,plūmipēs,plūmipēs,III
plūmōsa,plūmōsus,plūmōsum,I_II
plūrima,plūrimus,plūrimum,I_II
plūs,plūs,plūs,III
plūscula,plūsculus,plūsculum,I_II
pluviālis,pluviālis,pluviāle,III
pluvia,pluvius,pluvium,I_II
Poenīna,Poenīnus,Poenīnum,I_II
Poena,Poenus,Poenum,I_II
poētica,poēticus,poēticum,I_II
polītica,polīticus,polīticum,I_II
polīta,polītus,polītum,I_II
pollēns,pollēns,pollēns,III
pollūta,pollūtus,pollūtum,I_II
pōmāria,pōmārius,pōmārium,I_II
pōmifera,pōmifer,pōmiferum,I_II
pōmōsa,pōmōsus,pōmōsum,I_II
ponderōsa,ponderōsus,ponderōsum,I_II
pontificālis,pontificālis,pontificāle,III
pontificia,pontificius,pontificium,I_II
populābilis,populābilis,populābile,III
populābunda,populābundus,populābundum,I_II
populāris,populāris,populāre,III
pōpulea,pōpuleus,pōpuleum,I_II
pōpulifera,pōpulifer,pōpuliferum,I_II
porrēcta,porrēctus,porrēctum,I_II
portentifica,portentificus,portentificum,I_II
portentōsa,portentōsus,portentōsum,I_II
portuōsa,portuōsus,portuōsum,I_II
posita,positus,positum,I_II
postgenita,postgenitus,postgenitum,I_II
postīca,postīcus,postīcum,I_II
postmerīdiāna,postmerīdiānus,postmerīdiānum,I_II
postuma,postumus,postumum,I_II
potea,pote,poteum,I_II
potēns,potēns,potēns,III
potis,potis,pote,III
pōtulenta,pōtulentus,pōtulentum,I_II
pōta,pōtus,pōtum,I_II
praeacūta,praeacūtus,praeacūtum,I_II
praealta,praealtus,praealtum,I_II
praecalida,praecalidus,praecalidum,I_II
praecāna,praecānus,praecānum,I_II
praecellēns,praecellēns,praecellēns,III
praecelsa,praecelsus,praecelsum,I_II
praeceps,praeceps,praeceps,III
praecipua,praecipuus,praecipuum,I_II
praecīsa,praecīsus,praecīsum,I_II
praeclāra,praeclārus,praeclārum,I_II
praecomposita,praecompositus,praecompositum,I_II
praecōnia,praecōnius,praecōnium,I_II
praedābunda,praedābundus,praedābundum,I_II
praedātōria,praedātōrius,praedātōrium,I_II
praediātōria,praediātōrius,praediātōrium,I_II
praedicābilis,praedicābilis,praedicābile,III
praedita,praeditus,praeditum,I_II
praedīves,praedīves,praedīves,III
praedulcis,praedulcis,praedulce,III
praedūra,praedūrus,praedūrum,I_II
praeferōx,praeferōx,praeferōx,III
praefervida,praefervidus,praefervidum,I_II
praefīdēns,praefīdēns,praefīdēns,III
praefrācta,praefrāctus,praefrāctum,I_II
praefrīgida,praefrīgidus,praefrīgidum,I_II
praegelida,praegelidus,praegelidum,I_II
praegracilis,praegracilis,praegracile,III
praegravis,praegravis,praegrave,III
praeiūdicāta,praeiūdicātus,praeiūdicātum,I_II
praelonga,praelongus,praelongum,I_II
praelūstris,praelūstris,praelūstre,III
praemātūra,praemātūrus,praemātūrum,I_II
praemedicāta,praemedicātus,praemedicātum,I_II
praemetuēns,praemetuēns,praemetuēns,III
praemortua,praemortuus,praemortuum,I_II
praenūbila,praenūbilus,praenūbilum,I_II
praeparāta,praeparātus,praeparātum,I_II
praepes,praepes,praepes,III
praepilāta,praepilātus,praepilātum,I_II
praepinguis,praepinguis,praepingue,III
praepollēns,praepollēns,praepollēns,III
praeposita,praepositus,praepositum,I_II
praepostera,praeposterus,praeposterum,I_II
praepotēns,praepotēns,praepotēns,III
praepropera,praeproperus,praeproperum,I_II
praerapida,praerapidus,praerapidum,I_II
praerogātīva,praerogātīvus,praerogātīvum,I_II
praerupta,praeruptus,praeruptum,I_II
praesāga,praesāgus,praesāgum,I_II
praescia,praescius,praescium,I_II
praesēns,praesēns,praesēns,III
praesidiāria,praesidiārius,praesidiārium,I_II
praesīgnis,praesīgnis,praesīgne,III
praestābilis,praestābilis,praestābile,III
praestāns,praestāns,praestāns,III
praeterita,praeteritus,praeteritum,I_II
praetextāta,praetextātus,praetextātum,I_II
praetexta,praetextus,praetextum,I_II
praetōriāna,praetōriānus,praetōriānum,I_II
praetōria,praetōrius,praetōrium,I_II
praetrepidāns,praetrepidāns,praetrepidāns,III
praevalēns,praevalēns,praevalēns,III
praevalida,praevalidus,praevalidum,I_II
praevia,praevius,praevium,I_II
prāgmatica,prāgmaticus,prāgmaticum,I_II
prānsa,prānsus,prānsum,I_II
prātēnsis,prātēnsis,prātēnse,III
prāva,prāvus,prāvum,I_II
precāns,precāns,precāns,III
precāria,precārius,precārium,I_II
pressa,pressus,pressum,I_II
pretiōsa,pretiōsus,pretiōsum,I_II
prīmaeva,prīmaevus,prīmaevum,I_II
prīmāna,prīmānus,prīmānum,I_II
prīmāria,prīmārius,prīmārium,I_II
prīma,prīmus,prīmum,I_II
prīnceps,prīnceps,prīnceps,III
prīncipālis,prīncipālis,prīncipāle,III
priora,prior,priorum,I_II
prīsca,prīscus,prīscum,I_II
prīstina,prīstinus,prīstinum,I_II
prīvāta,prīvātus,prīvātum,I_II
prīva,prīvus,prīvum,I_II
proavīta,proavītus,proavītum,I_II
probābilis,probābilis,probābile,III
probāta,probātus,probātum,I_II
probrōsa,probrōsus,probrōsum,I_II
proba,probus,probum,I_II
procāx,procāx,procāx,III
procellōsa,procellōsus,procellōsum,I_II
prōcēra,prōcērus,prōcērum,I_II
prōclīvis,prōclīvis,prōclīve,III
prōcōnsulāris,prōcōnsulāris,prōcōnsulāre,III
prōcurva,prōcurvus,prōcurvum,I_II
prōdigiōsa,prōdigiōsus,prōdigiōsum,I_II
prōdiga,prōdigus,prōdigum,I_II
prōducta,prōductus,prōductum,I_II
profāna,profānus,profānum,I_II
professōria,professōrius,professōrium,I_II
professa,professus,professum,I_II
profēsta,profēstus,profēstum,I_II
prōflīgāta,prōflīgātus,prōflīgātum,I_II
prōfluēns,prōfluēns,prōfluēns,III
profuga,profugus,profugum,I_II
profunda,profundus,profundum,I_II
profūsa,profūsus,profūsum,I_II
prōgnāta,prōgnātus,prōgnātum,I_II
prōiecta,prōiectus,prōiectum,I_II
prōlētāria,prōlētārius,prōlētārium,I_II
prōlixa,prōlixus,prōlixum,I_II
prōminēns,prōminēns,prōminēns,III
prōmisca,prōmiscus,prōmiscum,I_II
prōmiscua,prōmiscuus,prōmiscuum,I_II
prōmissa,prōmissus,prōmissum,I_II
prōmpta,prōmptus,prōmptum,I_II
prōmūtua,prōmūtuus,prōmūtuum,I_II
prōna,prōnus,prōnum,I_II
prōpatula,prōpatulus,prōpatulum,I_II
prōpēnsa,prōpēnsus,prōpēnsum,I_II
properāta,properātus,properātum,I_II
properipēs,properipēs,properipēs,III
propera,properus,properum,I_II
propinqua,propinquus,propinquum,I_II
propiora,propior,propiorum,I_II
propitia,propitius,propitium,I_II
prōposita,prōpositus,prōpositum,I_II
propria,proprius,proprium,I_II
prōspera,prōsperus,prōsperum,I_II
proterva,protervus,protervum,I_II
prōvidēns,prōvidēns,prōvidēns,III
prōvida,prōvidus,prōvidum,I_II
prōvinciālis,prōvinciālis,prōvinciāle,III
proxima,proximus,proximum,I_II
prūdēns,prūdēns,prūdēns,III
pruīnōsa,pruīnōsus,pruīnōsum,I_II
prūnicea,prūniceus,prūniceum,I_II
psithia,psithius,psithium,I_II
pūbēns,pūbēns,pūbēns,III
pūbēs,pūbēs,pūbēs,III
pūblicāna,pūblicānus,pūblicānum,I_II
pūblica,pūblicus,pūblicum,I_II
pudenda,pudendus,pudendum,I_II
pudēns,pudēns,pudēns,III
pudibunda,pudibundus,pudibundum,I_II
pudīoa,pudīous,pudīoum,I_II
puellāris,puellāris,puellāre,III
puerīlis,puerīlis,puerīle,III
puerpera,puerperus,puerperum,I_II
pugillāris,pugillāris,pugillāre,III
pūgnāx,pūgnāx,pūgnāx,III
pulchella,pulchellus,pulchellum,I_II
pulchera,pulcher,pulcherum,I_II
pullāta,pullātus,pullātum,I_II
pulla,pullus,pullum,I_II
pulverea,pulvereus,pulvereum,I_II
pulverulenta,pulverulentus,pulverulentum,I_II
pūmicea,pūmiceus,pūmiceum,I_II
Pūnicāna,Pūnicānus,Pūnicānum,I_II
Pūnicea,Pūniceus,Pūniceum,I_II
Pūnica,Pūnicus,Pūnicum,I_II
pūpillāris,pūpillāris,pūpillāre,III
pūrgāta,pūrgātus,pūrgātum,I_II
purpurea,purpureus,purpureum,I_II
pūra,pūrus,pūrum,I_II
pusilla,pusillus,pusillum,I_II
puteālis,puteālis,puteāle,III
puter,puter,puter,III
pūtidiuscula,pūtidiusculus,pūtidiusculum,I_II
pūtida,pūtidus,pūtidum,I_II
putrida,putridus,putridum,I_II
puta,putus,putum,I_II
Pygmaea,Pygmaeus,Pygmaeum,I_II
Pȳrēnaea,Pȳrēnaeus,Pȳrēnaeum,I_II
Pȳthagorica,Pȳthagoricus,Pȳthagoricum,I_II
Pȳthica,Pȳthicus,Pȳthicum,I_II
quadrāgēnsima,quadrāgēnsimus,quadrāgēnsimum,I_II
quadrāgiēns,quadrāgiēns,quadrāgiēns,III
quadrantāria,quadrantārius,quadrantārium,I_II
quadrāta,quadrātus,quadrātum,I_II
quadrifida,quadrifidus,quadrifidum,I_II
quadrīgāta,quadrīgātus,quadrīgātum,I_II
quadriiugis,quadriiugis,quadriiuge,III
quadriiuga,quadriiugus,quadriiugum,I_II
quadrīma,quadrīmus,quadrīmum,I_II
quadringēnāria,quadringēnārius,quadringēnārium,I_II
quadringentēsima,quadringentēsimus,quadringentēsimum,I_II
quadripartīta,quadripartītus,quadripartītum,I_II
quadrirēmis,quadrirēmis,quadrirēme,III
quadrupēs,quadrupēs,quadrupēs,III
quadruplex,quadruplex,quadruplex,III
quaesīta,quaesītus,quaesītum,I_II
quaestōria,quaestōrius,quaestōrium,I_II
quaestuōsa,quaestuōsus,quaestuōsum,I_II
quāliscumquea,quāliscumque,quāliscumqueum,I_II
quantula,quantulus,quantulum,I_II
quantuluscumquea,quantuluscumque,quantuluscumqueum,I_II
quantuscumquea,quantuscumque,quantuscumqueum,I_II
quantuslibeta,quantuslibet,quantuslibetum,I_II
quantusquanta,quantusquantus,quantusquantum,I_II
quantusvīsa,quantusvīs,quantusvīsum,I_II
quartāna,quartānus,quartānum,I_II
quarta,quartus,quartum,I_II
quartusdecima,quartusdecimus,quartusdecimum,I_II
quassa,quassus,quassum,I_II
quercea,querceus,querceum,I_II
queribunda,queribundus,queribundum,I_II
quernea,querneus,querneum,I_II
querula,querulus,querulum,I_II
quīdama,quīdam,quīdamum,I_II
quiēta,quiētus,quiētum,I_II
Quīnctīlis,Quīnctīlis,Quīnctīle,III
quīndecimvirālis,quīndecimvirālis,quīndecimvirāle,III
quīngēnāria,quīngēnārius,quīngēnārium,I_II
quīngentēsima,quīngentēsimus,quīngentēsimum,I_II
quīnquea,quīnque,quīnqueum,I_II
quīnquennālis,quīnquennālis,quīnquennāle,III
quīnquennis,quīnquennis,quīnquenne,III
quīnquepertīta,quīnquepertītus,quīnquepertītum,I_II
quīnquerēmis,quīnquerēmis,quīnquerēme,III
quīntāna,quīntānus,quīntānum,I_II
Quirīnālis,Quirīnālis,Quirīnāle,III
Quirīna,Quirīnus,Quirīnum,I_II
quota,quot,quotum,I_II
quota,quotus,quotum,I_II
rabida,rabidus,rabidum,I_II
rabiōsula,rabiōsulus,rabiōsulum,I_II
rabiōsa,rabiōsus,rabiōsum,I_II
racēmifera,racēmifer,racēmiferum,I_II
radiāns,radiāns,radiāns,III
radiāta,radiātus,radiātum,I_II
rāmea,rāmeus,rāmeum,I_II
rāmōsa,rāmōsus,rāmōsum,I_II
rancidula,rancidulus,rancidulum,I_II
rancida,rancidus,rancidum,I_II
rapāx,rapāx,rapāx,III
rapida,rapidus,rapidum,I_II
rāra,rārus,rārum,I_II
rāsilis,rāsilis,rāsile,III
ratiōcinātīva,ratiōcinātīvus,ratiōcinātīvum,I_II
rata,ratus,ratum,I_II
raucisona,raucisonus,raucisonum,I_II
rauca,raucus,raucum,I_II
rāva,rāvus,rāvum,I_II
rebellis,rebellis,rebelle,III
recēns,recēns,recēns,III
recidīva,recidīvus,recidīvum,I_II
reciproca,reciprocus,reciprocum,I_II
reclīnis,reclīnis,reclīne,III
recomposita,recompositus,recompositum,I_II
recondita,reconditus,reconditum,I_II
rēcta,rēctus,rēctum,I_II
recuperātōria,recuperātōrius,recuperātōrium,I_II
recurva,recurvus,recurvum,I_II
redivīva,redivīvus,redivīvum,I_II
reducta,reductus,reductum,I_II
redunca,reduncus,reduncum,I_II
redux,redux,redux,III
referta,refertus,refertum,I_II
refervēns,refervēns,refervēns,III
reflua,refluus,refluum,I_II
refrāctāriola,refrāctāriolus,refrāctāriolum,I_II
refuga,refugus,refugum,I_II
rēgālis,rēgālis,rēgāle,III
rēgifica,rēgificus,rēgificum,I_II
rēgia,rēgius,rēgium,I_II
rēgnātrīx,rēgnātrīx,rēgnātrīx,III
rēiectānea,rēiectāneus,rēiectāneum,I_II
religiōsa,religiōsus,religiōsum,I_II
reliqua,reliquus,reliquum,I_II
remissa,remissus,remissum,I_II
remōta,remōtus,remōtum,I_II
repanda,repandus,repandum,I_II
reparābilis,reparābilis,reparābile,III
repēns,repēns,repēns,III
repentīna,repentīnus,repentīnum,I_II
repexa,repexus,repexum,I_II
replēta,replētus,replētum,I_II
reposta,repostus,repostum,I_II
repūgnāns,repūgnāns,repūgnāns,III
requiēta,requiētus,requiētum,I_II
residua,residuus,residuum,I_II
resīma,resīmus,resīmum,I_II
rēsīnāta,rēsīnātus,rēsīnātum,I_II
resistēns,resistēns,resistēns,III
resonābilis,resonābilis,resonābile,III
resona,resonus,resonum,I_II
restricta,restrictus,restrictum,I_II
resupīna,resupīnus,resupīnum,I_II
retinēns,retinēns,retinēns,III
retorrida,retorridus,retorridum,I_II
retrācta,retrāctus,retrāctum,I_II
retrōversa,retrōversus,retrōversum,I_II
retrūsa,retrūsus,retrūsum,I_II
retūsa,retūsus,retūsum,I_II
rea,reus,reum,I_II
reverenda,reverendus,reverendum,I_II
reverēns,reverēns,reverēns,III
revocābilis,revocābilis,revocābile,III
revolūbilis,revolūbilis,revolūbile,III
rhētoricōterosa,rhētoricōteros,rhētoricōterosum,I_II
rhētorica,rhētoricus,rhētoricum,I_II
Rhoetēa,Rhoetēus,Rhoetēum,I_II
rhythmica,rhythmicus,rhythmicum,I_II
rīdicula,rīdiculus,rīdiculum,I_II
rigēns,rigēns,rigēns,III
rigida,rigidus,rigidum,I_II
rigua,riguus,riguum,I_II
rīmōsa,rīmōsus,rīmōsum,I_II
rōborea,rōboreus,rōboreum,I_II
rōba,rōbus,rōbum,I_II
rōbusta,rōbustus,rōbustum,I_II
rogālis,rogālis,rogāle,III
Rōmāna,Rōmānus,Rōmānum,I_II
Rōmulea,Rōmuleus,Rōmuleum,I_II
Rōmula,Rōmulus,Rōmulum,I_II
rōrida,rōridus,rōridum,I_II
Rōsciāna,Rōsciānus,Rōsciānum,I_II
rōscida,rōscidus,rōscidum,I_II
rosea,roseus,roseum,I_II
rōstrāta,rōstrātus,rōstrātum,I_II
rotāta,rotātus,rotātum,I_II
rotunda,rotundus,rotundum,I_II
rubēns,rubēns,rubēns,III
rubera,ruber,ruberum,I_II
rubea,rubeus,rubeum,I_II
rubicundula,rubicundulus,rubicundulum,I_II
rubicunda,rubicundus,rubicundum,I_II
rudis,rudis,rude,III
rūfa,rūfus,rūfum,I_II
rūgōsa,rūgōsus,rūgōsum,I_II
ruīnōsa,ruīnōsus,ruīnōsum,I_II
Rūmīnālis,Rūmīnālis,Rūmīnāle,III
russa,russus,russum,I_II
rūsticāna,rūsticānus,rūsticānum,I_II
rūsticēa,rūsticē,rūsticēum,I_II
rūstica,rūsticus,rūsticum,I_II
rutila,rutilus,rutilum,I_II
Sabaea,Sabaeus,Sabaeum,I_II
Sabellica,Sabellicus,Sabellicum,I_II
Sabīna,Sabīnus,Sabīnum,I_II
sacera,sacer,sacerum,I_II
sacrāta,sacrātus,sacrātum,I_II
sacrifera,sacrifer,sacriferum,I_II
sacrificālis,sacrificālis,sacrificāle,III
sacrifica,sacrificus,sacrificum,I_II
sacrilega,sacrilegus,sacrilegum,I_II
sacrōsāncta,sacrōsānctus,sacrōsānctum,I_II
saeculāris,saeculāris,saeculāre,III
saetigera,saetiger,saetigerum,I_II
saetōsa,saetōsus,saetōsum,I_II
saevidica,saevidicus,saevidicum,I_II
saeva,saevus,saevum,I_II
sagāta,sagātus,sagātum,I_II
sagāx,sagāx,sagāx,III
sagittifera,sagittifer,sagittiferum,I_II
salāx,salāx,salāx,III
Saliāris,Saliāris,Saliāre,III
salīgna,salīgnus,salīgnum,I_II
salsa,salsus,salsum,I_II
saltātōria,saltātōrius,saltātōrium,I_II
saltuōsa,saltuōsus,saltuōsum,I_II
salūbris,salūbris,salūbre,III
salūtāris,salūtāris,salūtāre,III
salūtifera,salūtifer,salūtiferum,I_II
salvosa,salvos,salvosum,I_II
Samia,Samius,Samium,I_II
Samnīs,Samnīs,Samnīs,III
sānābilis,sānābilis,sānābile,III
sāncta,sānctus,sānctum,I_II
sanguināria,sanguinārius,sanguinārium,I_II
sanguinea,sanguineus,sanguineum,I_II
sanguinolenta,sanguinolentus,sanguinolentum,I_II
Sanquālis,Sanquālis,Sanquāle,III
sāna,sānus,sānum,I_II
sapiēns,sapiēns,sapiēns,III
sapientipotēns,sapientipotēns,sapientipotēns,III
sarcināria,sarcinārius,sarcinārium,I_II
sarcophaga,sarcophagus,sarcophagum,I_II
Sarrāna,Sarrānus,Sarrānum,I_II
sarta,sartus,sartum,I_II
sata,sat,satum,I_II
satis,satis,sate,III
satia,satius,satium,I_II
satura,satur,saturum,I_II
Saturēiāna,Saturēiānus,Saturēiānum,I_II
Sāturnia,Sāturnius,Sāturnium,I_II
saucia,saucius,saucium,I_II
saxea,saxeus,saxeum,I_II
saxifica,saxificus,saxificum,I_II
saxifraga,saxifragus,saxifragum,I_II
saxōsa,saxōsus,saxōsum,I_II
scabera,scaber,scaberum,I_II
Scaeaa,Scaea,Scaeaum,I_II
scaenica,scaenicus,scaenicum,I_II
scatēns,scatēns,scatēns,III
scaura,scaurus,scaurum,I_II
scelerāta,scelerātus,scelerātum,I_II
scelerōsa,scelerōsus,scelerōsum,I_II
scelesta,scelestus,scelestum,I_II
scēptrifera,scēptrifer,scēptriferum,I_II
scholastica,scholasticus,scholasticum,I_II
sciēns,sciēns,sciēns,III
scirpea,scirpeus,scirpeum,I_II
scissa,scissus,scissum,I_II
scīta,scītus,scītum,I_II
scopulōsa,scopulōsus,scopulōsum,I_II
scortea,scorteus,scorteum,I_II
scrūpea,scrūpeus,scrūpeum,I_II
scrūpulōsa,scrūpulōsus,scrūpulōsum,I_II
sculptilis,sculptilis,sculptile,III
scurrīlis,scurrīlis,scurrīle,III
scūtāta,scūtātus,scūtātum,I_II
Scyllaea,Scyllaeus,Scyllaeum,I_II
sēclūsa,sēclūsus,sēclūsum,I_II
sēcrēta,sēcrētus,sēcrētum,I_II
sectilis,sectilis,sectile,III
secundāria,secundārius,secundārium,I_II
secunda,secundus,secundum,I_II
secūrifera,secūrifer,secūriferum,I_II
secūrigera,secūriger,secūrigerum,I_II
sēcūra,sēcūrus,sēcūrum,I_II
sēdāta,sēdātus,sēdātum,I_II
sēditiōsa,sēditiōsus,sēditiōsum,I_II
sēducta,sēductus,sēductum,I_II
sēdula,sēdulus,sēdulum,I_II
sēgmentāta,sēgmentātus,sēgmentātum,I_II
sēgnipēs,sēgnipēs,sēgnipēs,III
sēgnis,sēgnis,sēgne,III
sēmēnstris,sēmēnstris,sēmēnstre,III
sēmentīna,sēmentīnus,sēmentīnum,I_II
sēmentīva,sēmentīvus,sēmentīvum,I_II
sēmiadaperta,sēmiadapertus,sēmiadapertum,I_II
sēmiaperta,sēmiapertus,sēmiapertum,I_II
sēmicremāta,sēmicremātus,sēmicremātum,I_II
sēmicrema,sēmicremus,sēmicremum,I_II
sēmicubitālis,sēmicubitālis,sēmicubitāle,III
sēmidea,sēmideus,sēmideum,I_II
sēmidocta,sēmidoctus,sēmidoctum,I_II
sēmifacta,sēmifactus,sēmifactum,I_II
sēmifera,sēmifer,sēmiferum,I_II
sēmigermāna,sēmigermānus,sēmigermānum,I_II
sēmigravis,sēmigravis,sēmigrave,III
sēmihiāns,sēmihiāns,sēmihiāns,III
sēmilacera,sēmilacer,sēmilacerum,I_II
sēmilauta,sēmilautus,sēmilautum,I_II
sēmilībera,sēmilīber,sēmilīberum,I_II
sēmimortua,sēmimortuus,sēmimortuum,I_II
sēminūda,sēminūdus,sēminūdum,I_II
sēmiplēna,sēmiplēnus,sēmiplēnum,I_II
sēmiputāta,sēmiputātus,sēmiputātum,I_II
sēmirāsa,sēmirāsus,sēmirāsum,I_II
sēmireducta,sēmireductus,sēmireductum,I_II
sēmirefecta,sēmirefectus,sēmirefectum,I_II
sēmiruta,sēmirutus,sēmirutum,I_II
sēmisepulta,sēmisepultus,sēmisepultum,I_II
sēmisomna,sēmisomnus,sēmisomnum,I_II
sēmisupīna,sēmisupīnus,sēmisupīnum,I_II
semitāria,semitārius,semitārium,I_II
sēmiūstilāta,sēmiūstilātus,sēmiūstilātum,I_II
sēmiūsta,sēmiūstus,sēmiūstum,I_II
sēmivīva,sēmivīvus,sēmivīvum,I_II
sēmōta,sēmōtus,sēmōtum,I_II
sempiterna,sempiternus,sempiternum,I_II
sēmūnciāria,sēmūnciārius,sēmūnciārium,I_II
sēnāria,sēnārius,sēnārium,I_II
senātōria,senātōrius,senātōrium,I_II
senex,senex,senex,III
senīlis,senīlis,senīle,III
sententiōsa,sententiōsus,sententiōsum,I_II
senta,sentus,sentum,I_II
sēparābilis,sēparābilis,sēparābile,III
sēparāta,sēparātus,sēparātum,I_II
sēposita,sēpositus,sēpositum,I_II
septemdecema,septemdecem,septemdecemum,I_II
septemflua,septemfluus,septemfluum,I_II
septemgemina,septemgeminus,septemgeminum,I_II
septemplex,septemplex,septemplex,III
septemtriōnālis,septemtriōnālis,septemtriōnāle,III
septemvirālis,septemvirālis,septemvirāle,III
septēnāria,septēnārius,septēnārium,I_II
septirēmis,septirēmis,septirēme,III
sepulcrālis,sepulcrālis,sepulcrāle,III
sequāx,sequāx,sequāx,III
sequēns,sequēns,sequēns,III
sequester,sequester,sequester,III
serēna,serēnus,serēnum,I_II
Sērica,Sēricus,Sēricum,I_II
sēria,sērius,sērium,I_II
serrāta,serrātus,serrātum,I_II
sēra,sērus,sērum,I_II
servābilis,servābilis,servābile,III
servīlis,servīlis,servīle,III
serva,servus,servum,I_II
sēscēnāris,sēscēnāris,sēscēnāre,III
sēscēnīa,sēscēnī,sēscēnīum,I_II
sēscentēsima,sēscentēsimus,sēscentēsimum,I_II
sēscentīa,sēscentī,sēscentīum,I_II
sēsquialtera,sēsquialter,sēsquialterum,I_II
sēsquioctāva,sēsquioctāvus,sēsquioctāvum,I_II
sēsquipedālis,sēsquipedālis,sēsquipedāle,III
sēsquiplex,sēsquiplex,sēsquiplex,III
sēsquitertia,sēsquitertius,sēsquitertium,I_II
sessilis,sessilis,sessile,III
sēstertia,sēstertius,sēstertium,I_II
sevēra,sevērus,sevērum,I_II
sex,sex,sex,III
sexāgēnīa,sexāgēnī,sexāgēnīum,I_II
sexāgēsima,sexāgēsimus,sexāgēsimum,I_II
sexāgintāa,sexāgintā,sexāgintāum,I_II
sexangula,sexangulus,sexangulum,I_II
sexcēnāria,sexcēnārius,sexcēnārium,I_II
sexennis,sexennis,sexenne,III
Sextīlis,Sextīlis,Sextīle,III
sexta,sextus,sextum,I_II
Sibyllīna,Sibyllīnus,Sibyllīnum,I_II
sīcāria,sīcārius,sīcārium,I_II
sicca,siccus,siccum,I_II
Sīcelis,Sīcelis,Sīcele,III
sīderea,sīdereus,sīdereum,I_II
Sīdōnis,Sīdōnis,Sīdōne,III
Sīdōnia,Sīdōnius,Sīdōnium,I_II
sigillāta,sigillātus,sigillātum,I_II
sīgnifera,sīgnifer,sīgniferum,I_II
silēns,silēns,silēns,III
sila,silus,silum,I_II
silvestris,silvestris,silvestre,III
silvicultrīx,silvicultrīx,silvicultrīx,III
silvōsa,silvōsus,silvōsum,I_II
similis,similis,simile,III
simplex,simplex,simplex,III
sīma,sīmus,sīmum,I_II
sincēra,sincērus,sincērum,I_II
singulāris,singulāris,singulāre,III
singulīa,singulī,singulīum,I_II
sinistera,sinister,sinisterum,I_II
sinuōsa,sinuōsus,sinuōsum,I_II
Sīria,Sīrius,Sīrium,I_II
Sīsyphia,Sīsyphius,Sīsyphium,I_II
sitīculōsa,sitīculōsus,sitīculōsum,I_II
sitiēns,sitiēns,sitiēns,III
Sittiāna,Sittiānus,Sittiānum,I_II
sita,situs,situm,I_II
sōbria,sōbrius,sōbrium,I_II
sociābilis,sociābilis,sociābile,III
sociālis,sociālis,sociāle,III
socia,socius,socium,I_II
sōcors,sōcors,sōcors,III
sodālicia,sodālicius,sodālicium,I_II
sodālis,sodālis,sodāle,III
sōlāris,sōlāris,sōlāre,III
